,player_name,school,GP,Min_per,ORtg,usg,eFG,TS_per,FT_per,twoP_per,TP_per,yr,ht,ast/tov,pick,drtg,bpm,mp,oreb,dreb,ast,stl,blk,pts,role,drafted,Allstar
211,Branden Dawson,Michigan St.,35,65.7,104.3,23.4,53.5,53.29,0.49,0.535,0.0,4,198,0.88058303,56.0,90.3602,8.87752,30.1429,2.9143,6.1714,1.6857000000000002,1.2,1.6571,11.8571,PF/C,Yes,No
212,Jerian Grant,Notre Dame,38,91.1,122.2,25.6,53.6,59.18,0.78,0.5720000000000001,0.316,4,195,3.07317281,19.0,102.946,8.37993,37.0526,0.3421,2.6842,6.6316,1.6579000000000002,0.5,16.5263,Pure PG,Yes,No
213,Jarnell Stokes,Tennessee,36,81.2,117.2,25.7,53.7,58.01,0.6900000000000001,0.537,0.0,3,203,0.92206274,35.0,95.0776,9.18819,32.7222,4.1944,6.4722,1.9722,0.6944,0.8889,15.2222,C,Yes,No
214,Cody Zeller,Indiana,36,73.3,119.4,26.5,56.2,62.26,0.757,0.5650000000000001,0.0,2,213,0.58026669,4.0,88.1328,9.61322,29.5278,2.8333,5.2222,1.3056,1.0278,1.25,16.5,C,Yes,No
215,Taurean Prince,Baylor,33,76.2,107.2,27.2,49.3,53.66,0.769,0.468,0.361,4,203,0.86361423,12.0,102.839,6.32222,30.8182,2.303,3.6364,2.303,1.2121,0.7273000000000001,16.0303,Wing F,Yes,No
216,Willie Cauley-Stein,Kentucky,39,64.3,115.8,18.3,57.2,58.79,0.617,0.5720000000000001,0.0,3,213,0.79168017,6.0,79.0904,12.7451,25.9487,2.2821,4.1538,0.9744,1.2051,1.7179,8.9487,C,Yes,No
217,A.J. Hammons,Purdue,33,57.5,114.7,27.2,60.1,62.32,0.709,0.594,0.545,4,213,0.56922373,46.0,87.656,9.73587,24.6364,2.3333,5.8485,1.1212,0.2727,2.5455,14.9697,C,Yes,No
218,Marcus Paige,North Carolina,34,67.2,120.3,18.4,50.3,53.75,0.774,0.459,0.356,4,187,3.04759986,55.0,103.744,7.39342,31.6176,0.4412,2.0882,3.7647,1.1471,0.4412,12.5882,Scoring PG,Yes,No
219,Brice Johnson,North Carolina,40,70.1,126.8,24.5,61.4,64.89,0.783,0.614,0.0,4,208,0.82857146,25.0,91.501,11.3057,28.025,2.875,7.525,1.45,1.075,1.475,16.95,C,Yes,No
220,J.P. Tokoto,North Carolina,38,71.6,101.4,19.6,45.0,48.38,0.615,0.435,0.375,3,195,1.91769507,58.0,96.9102,7.95804,28.8421,1.6053000000000002,4.0,4.2895,1.4737,0.3421,8.3158,Wing G,Yes,No
221,Ben McLemore,Kansas,37,79.1,118.7,22.0,58.6,63.26,0.87,0.553,0.42,1,195,0.94805635,7.0,92.3885,8.47939,32.1892,1.2703,3.9189,1.973,1.0,0.6757000000000001,15.9189,Wing G,Yes,No
222,Joel Bolomboy,Weber St.,30,75.6,113.1,26.2,58.3,61.82,0.6880000000000001,0.598,0.34,4,205,0.44736114,52.0,92.2619,2.77503,32.7667,3.2667,9.3333,1.1333,0.6333000000000001,1.1333,17.0667,PF/C,Yes,No
223,Marcus Smart,Oklahoma St.,31,72.9,110.4,29.9,48.6,55.18,0.728,0.514,0.299,2,193,1.80485405,6.0,91.3572,11.9444,32.7097,1.4194,4.4839,4.7742,2.871,0.5806,17.9677,Scoring PG,Yes,No
224,Arsalan Kazemi,Oregon,35,67.5,118.3,16.4,59.5,62.66,0.675,0.598,0.0,4,200,0.92306656,54.0,82.3058,10.4199,29.0286,2.8,7.2,1.3714,2.0286,0.6571,9.3714,PF/C,Yes,No
225,Anthony Bennett,UNLV,34,67.8,112.8,25.7,57.5,60.36,0.6960000000000001,0.5760000000000001,0.383,1,203,0.49209348,1.0,89.4038,6.61092,27.2353,2.3824,5.5882000000000005,0.9118,0.7059000000000001,1.1765,15.7941,Stretch 4,Yes,No
226,DeAndre Daniels,Connecticut,31,27.3,93.0,16.9,40.7,45.69,0.8,0.463,0.24,1,203,0.68183742,37.0,99.5429,2.20738,12.129,0.6452,1.4516,0.4839,0.3548,0.5806,3.0323,Stretch 4,Yes,No
227,Deandre Daniels,Connecticut,38,68.4,108.1,22.5,53.1,55.95,0.787,0.491,0.417,3,205,0.3035895999999999,37.0,94.3576,3.3753,29.0,1.4474,4.5526,0.4474,0.6842,1.4211,13.0526,Stretch 4,Yes,No
228,Kris Dunn,Providence,33,76.9,103.6,29.3,49.9,54.06,0.6950000000000001,0.477,0.372,3,193,1.7758307800000002,5.0,93.8582,9.73839,32.9697,1.0909,4.2424,6.2424,2.4848,0.6061000000000001,16.4242,Pure PG,Yes,No
229,Sam Dekker,Wisconsin,40,77.0,125.8,22.4,58.6,60.48,0.708,0.639,0.331,3,205,1.36111117,18.0,98.6443,9.19569,30.975,1.925,3.575,1.225,0.525,0.45,13.9,Wing F,Yes,No
230,Tyler Harvey,Eastern Washington,29,84.1,122.6,26.2,57.6,62.46,0.856,0.517,0.409,3,193,1.28125,51.0,111.75,1.94267,36.9375,0.625,3.0,2.5625,1.125,0.125,23.0625,Combo G,Yes,No
231,Jordan Adams,UCLA,36,72.6,121.5,25.7,54.5,60.33,0.836,0.551,0.356,2,195,1.55553341,22.0,95.7886,10.5718,30.0556,1.8611,3.4722,2.3333,2.6389,0.1389,17.3889,Wing G,Yes,No
232,Olivier Hanlan,Boston College,32,92.6,107.3,29.5,51.9,55.32,0.759,0.513,0.353,3,193,1.58828408,42.0,105.077,5.48991,37.625,0.75,3.4688,4.2188,1.2812,0.0312,19.5312,Scoring PG,Yes,No
233,Georges Niang,Iowa St.,35,82.1,116.9,28.0,60.0,62.49,0.807,0.605,0.392,4,203,1.27174168,50.0,103.73,7.56725,33.2,1.3143,4.9143,3.3429,0.8857,0.6286,20.5143,Wing F,Yes,No
234,Jerami Grant,Syracuse,32,73.4,115.6,21.4,49.6,54.74,0.674,0.506,0.0,2,203,1.18924056,39.0,97.8648,4.63048,31.4062,2.4375,4.3438,1.375,0.8125,0.5625,12.0625,C,Yes,No
235,Shabazz Muhammad,UCLA,32,69.5,107.1,28.2,48.7,52.82,0.711,0.463,0.377,1,198,0.52942655,14.0,103.412,1.84634,30.8438,2.7188,2.5,0.8438,0.7188,0.125,17.875,Wing F,Yes,No
236,Kyle Anderson,UCLA,36,80.3,110.6,26.0,51.7,56.62,0.737,0.48,0.483,2,205,2.11814376,30.0,94.3457,9.78061,33.2222,1.25,7.5,6.4722,1.7778,0.75,14.6389,Wing F,Yes,No
237,Grant Jerrett,Arizona,34,43.1,114.3,14.7,51.3,53.51,0.8180000000000001,0.413,0.405,1,208,0.94738727,40.0,93.2731,7.05192,17.8235,1.0882,2.5,0.5294,0.4706,0.9706,5.1765,PF/C,Yes,No
238,Montrezl Harrell,Louisville,35,84.8,113.7,22.6,57.8,58.81,0.597,0.602,0.243,3,203,0.7101552,32.0,89.4932,7.45216,35.1143,3.1714,6.0,1.4,0.9429,1.2,15.6857,PF/C,Yes,No
239,Caris LeVert,Michigan,14,31.0,126.8,26.0,59.0,63.14,0.788,0.533,0.45,4,200,3.13643865,20.0,102.205,9.52432,31.0714,0.6429,4.7857,4.9286,0.9286,0.2143,16.3571,Combo G,Yes,No
