;;;Round 1;;;Totals;;;;;Shooting;;;Per Game;;;;Advanced;;;
Rk;Pk;Tm;Player;College;Yrs;G;MP;PTS;TRB;AST;FG%;3P%;FT%;MP;PTS;TRB;AST;WS;WS/48;BPM;VORP
45;45;BOS;Juhann Begarin;;;;;;;;;;;;;;;;;;
46;46;TOR;Dalano Banton;Nebraska;1;26;333;108;61;42;.452;.300;.750;12.8;4.2;2.3;1.6;0.3;.050;-2.9;-0.1
47;47;TOR;David Johnson;Louisville;1;2;2;0;0;0;.000;.000;;1.0;0.0;0.0;0.0;0.0;-.513;-28.2;0.0
48;48;ATL;Sharife Cooper;Auburn;1;5;11;2;0;4;.250;.000;;2.2;0.4;0.0;0.8;0.0;-.148;-9.7;0.0
49;49;BRK;Marcus Zegarowski;Creighton;;;;;;;;;;;;;;;;;
50;50;PHI;Filip Petrušev;Gonzaga;;;;;;;;;;;;;;;;;
51;51;MEM;Brandon Boston Jr.;Kentucky;1;14;170;88;19;6;.429;.429;.941;12.1;6.3;1.4;0.4;0.3;.085;-1.8;0.0
52;52;DET;Luka Garza;Iowa;1;15;143;55;31;7;.422;.375;.786;9.5;3.7;2.1;0.5;0.2;.082;-3.5;-0.1
53;53;PHI;Charles Bassey;Western Kentucky;1;11;86;33;29;2;.700;.000;.714;7.8;3.0;2.6;0.2;0.4;.214;2.7;0.1
54;54;IND;Sandro Mamukelashvili;Seton Hall;1;13;115;34;28;6;.452;.364;.667;8.8;2.6;2.2;0.5;0.3;.112;-2.4;0.0
55;55;OKC;Aaron Wiggins;Maryland;1;9;130;26;14;10;.444;.375;.571;14.4;2.9;1.6;1.1;0.1;.031;-6.7;-0.2
56;56;CHO;Scottie Lewis;Florida;;;;;;;;;;;;;;;;;
57;57;CHO;Balša Koprivica;Florida State;;;;;;;;;;;;;;;;;
58;58;NYK;Jericho Sims;Texas;1;9;58;9;15;1;1.000;;.750;6.4;1.0;1.7;0.1;0.2;.135;1.1;0.0
59;59;BRK;RaiQuan Gray;Florida State;;;;;;;;;;;;;;;;;
60;60;IND;Georgios Kalaitzakis;;1;9;48;16;8;0;.455;.500;.444;5.3;1.8;0.9;0.0;0.0;.007;-8.7;-0.1
