,player_name,school,GP,Min_per,ORtg,usg,eFG,TS_per,FT_per,twoP_per,TP_per,yr,ht,ast/tov,pick,drtg,bpm,mp,oreb,dreb,ast,stl,blk,pts,role,drafted
1,DeAndrae Ross,Troy,7,11.5,67.1,16.9,34.5,36.11,0.5,0.364,0.222,3,187,0.76926388,0.0,113.707,-10.394,18.8571,0.5714,1.1429,1.4286,0.1429,0.0,3.2857,Wing G,No
2,Pooh Williams,Utah St.,33,64.5,105.6,18.7,48.1,52.4,0.8150000000000001,0.394,0.368,4,193,1.60468149,0.0,97.301,1.12516,26.0,0.1515,1.4848,2.0909,0.2121,0.09090000000000001,8.6667,Combo G,No
11,Dana Smith,Longwood,27,81.8,99.8,27.7,49.9,53.76,0.658,0.483,0.363,4,195,0.7738098800000001,0.0,106.301,-0.44103699999999996,32.7037,2.1481,4.9259,2.4074,0.8148000000000001,0.48150000000000004,17.5556,Wing F,No
26,Carlos Strong,Boston University,35,76.2,118.1,16.4,58.8,60.93,0.682,0.47800000000000004,0.47200000000000003,4,190,1.34038268,0.0,95.9093,6.07749,30.6857,1.3429,3.2286,1.8,1.6571,0.4,10.8571,Combo G,No
27,Sherrod Smith,Boston University,29,9.5,60.7,6.9,8.3,14.93,0.30000000000000004,0.1,0.0,4,193,5.9971016200000005,0.0,99.0118,-4.12849,4.6207,0.1379,0.5862,0.2069,0.1034,0.0345,0.1724,Wing G,No
28,Eulis Stephens,Detroit,31,31.6,110.2,13.9,51.3,55.91,0.673,0.611,0.182,4,193,1.12497585,0.0,99.3834,0.667967,13.5484,0.6774,1.2258,0.5806,0.3871,0.129,3.5806,Wing G,No
30,Brett Gifford,Albany,30,39.4,79.3,10.1,46.8,46.77,0.444,0.47500000000000003,0.0,4,210,0.62066827,0.0,101.019,-2.65868,16.9333,0.6333000000000001,2.6667,0.6000000000000001,0.4,0.8333,2.0667,C,No
31,Valdas Sirutis,Boston University,32,36.9,92.5,9.7,40.8,43.49,0.516,0.452,0.241,4,200,1.0,0.0,101.426,-1.64751,16.25,0.9688,1.5,0.5938,0.21880000000000002,0.0625,2.0312,Stretch 4,No
32,Corey Lowe,Boston University,32,75.7,91.5,28.9,46.3,49.32,0.657,0.41200000000000003,0.341,4,187,1.01492537,0.0,98.0933,0.94008,33.375,0.9688,3.5,4.25,1.25,0.4062,15.0312,Scoring PG,No
36,Patrick Bouli,Manhattan,31,70.9,99.1,10.0,47.2,50.96,0.909,0.381,0.34600000000000003,4,187,1.85721894,0.0,98.1056,1.8733400000000002,28.4839,0.3871,3.3226,2.0968,1.4194,0.1613,4.3871,Combo G,No
38,Antoine Pearson,Manhattan,31,59.0,97.0,20.3,42.8,48.18,0.655,0.427,0.28800000000000003,4,187,1.65000382,0.0,100.002,-0.18797799999999998,23.7097,0.3548,1.9032,2.129,1.2258,0.0645,7.9032,Scoring PG,No
41,T.J. Topercer,Navy,28,27.4,73.6,14.9,39.7,42.47,0.6920000000000001,0.625,0.182,4,200,0.37032046,0.0,103.781,-7.07418,11.892900000000001,0.5357000000000001,1.4286,0.35710000000000003,0.35710000000000003,0.0,2.25,Stretch 4,No
43,Darryl Crawford,Manhattan,31,83.0,100.6,25.5,44.1,49.96,0.745,0.447,0.276,4,195,1.02984319,0.0,98.6922,1.9595600000000002,33.3226,1.8065,4.5161,2.2258,1.1613,0.4516,14.7742,Wing G,No
46,Jabari Deshields,Alabama A&M,25,28.0,62.6,16.2,31.7,37.34,0.611,0.313,0.222,4,177,0.9428572,0.0,93.3142,-8.67756,11.24,0.36,0.84,1.32,0.72,0.04,1.48,Scoring PG,No
48,Charles Jenkins,Hofstra,32,92.4,123.2,28.7,57.7,62.93,0.8250000000000001,0.555,0.41400000000000003,4,190,2.11262838,44.0,107.807,7.09443,37.4062,0.5,2.7188,4.6875,1.6562000000000001,0.625,22.5,Scoring PG,Yes
51,Pierre Curtis,James Madison,33,84.9,107.6,16.3,46.3,56.76,0.8170000000000001,0.452,0.323,4,190,1.89042079,0.0,104.443,0.0261618,33.9697,0.7879,2.8485,4.1818,1.4545,0.2121,8.7879,Scoring PG,No
52,Greg Washington,Hofstra,32,71.8,106.6,15.0,46.9,49.83,0.729,0.47200000000000003,0.0,4,208,1.08333333,0.0,103.539,3.24673,29.0625,1.875,3.3125,0.8125,1.0625,2.0625,7.3438,C,No
53,Matt Parker,James Madison,27,21.7,87.9,16.2,45.2,45.32,0.5,0.421,0.308,4,203,0.6666667,0.0,106.295,-5.16125,10.6296,0.25930000000000003,0.963,0.3704,0.1481,0.2963,2.8519,Stretch 4,No
62,Evan Neisler,Drexel,31,44.8,98.7,14.7,60.9,63.56,0.6920000000000001,0.609,0.0,4,203,0.09299978,0.0,96.857,-1.37984,18.5806,1.7419,2.7419000000000002,0.129,0.3871,0.4516,4.5806000000000004,C,No
68,Moussa Camara,Binghamton,31,74.4,102.1,20.6,48.2,51.58,0.803,0.325,0.386,4,198,0.73682488,0.0,115.015,-4.44092,30.0,0.3871,2.0645,0.9032,0.3871,0.129,11.2258,Wing G,No
71,Otis Polk,Bowling Green,29,70.2,99.9,22.3,50.4,52.85,0.602,0.504,0.0,4,205,0.40678302,0.0,102.309,0.807943,28.2069,3.3793,3.6897,0.8276,0.6552,1.2414,10.0345,C,No
72,Marc Larson,Bowling Green,29,52.0,97.5,17.7,48.4,52.88,0.717,0.484,0.0,4,205,0.3658226,0.0,105.977,-1.75902,20.8966,2.1379,2.069,0.5172,0.3103,0.6552,5.5862,C,No
74,Landon Milbourne,Maryland,32,73.6,109.2,20.1,51.5,54.44,0.728,0.514,0.35100000000000003,4,200,0.54344347,0.0,97.3049,5.13778,29.7812,1.9062000000000001,3.0938,0.7812,1.1562000000000001,1.1875,12.75,Wing F,No
75,Eric Hayes,Maryland,32,75.8,124.9,16.4,62.1,64.83,0.87,0.556,0.452,4,193,2.42307692,0.0,102.052,6.08687,30.6875,0.4062,2.0312,3.9375,0.9375,0.1875,11.25,Scoring PG,No
79,Vernon Macklin,Florida,37,59.7,107.5,24.3,59.3,57.77,0.451,0.593,0.0,4,208,0.47618489,52.0,97.7281,3.88301,24.4595,2.2162,3.1622,0.8108000000000001,0.3514,0.7027,11.5676,C,Yes
80,Levi Knutson,Colorado,37,66.6,130.4,16.3,63.1,65.35,0.9,0.547,0.467,4,193,1.19360225,0.0,109.11,3.97497,26.8919,0.6216,2.2703,1.0,0.5946,0.0541,11.6486,Wing G,No
87,Frank Hassell,Old Dominion,34,73.3,117.5,26.1,56.0,59.98,0.737,0.56,0.0,4,205,0.54284048,0.0,91.4288,6.68275,29.3235,3.7353,5.7059,1.1176,0.8529,1.2647,15.1471,C,No
91,Kevin White,Maryland Eastern Shore,29,74.7,84.0,23.3,37.1,42.65,0.73,0.394,0.08700000000000001,4,182,1.5464003800000001,0.0,111.813,-7.67608,30.4138,0.5517000000000001,1.5171999999999999,5.1724,1.1034,0.069,8.8621,Pure PG,No
100,Sean Carter,Massachusetts,37,70.3,105.5,14.7,56.8,56.74,0.537,0.5680000000000001,0.0,4,205,0.5,0.0,98.1566,2.95242,28.4865,2.8108,3.7027,0.7838,0.7027,1.0811,8.0811,C,No
101,Carlton Fay,Southern Illinois,32,71.6,100.6,24.3,46.0,52.59,0.852,0.47200000000000003,0.292,4,203,0.37497142,0.0,103.66,-1.15055,28.8438,1.0,3.0,0.6562,0.4375,0.2812,12.7188,Wing F,No
104,Paul Campbell,Hawaii,28,46.2,113.3,13.9,57.7,55.58,0.429,0.577,0.0,4,208,1.52386665,0.0,109.499,3.11074,19.1429,2.1071,1.6071,1.1429,0.35710000000000003,0.8929,4.6429,C,No
105,Adhar Mayen,Hawaii,28,59.1,101.6,15.5,50.0,51.66,0.6900000000000001,0.526,0.312,4,203,1.08112601,0.0,111.663,-1.8475300000000001,24.5,0.8214,1.9643000000000002,1.4286,0.5,0.1429,6.9286,Wing F,No
108,Kareem Nitoto,UC Riverside,29,79.0,86.8,19.1,40.6,45.1,0.718,0.336,0.34900000000000003,4,185,1.09836461,0.0,104.003,-2.59105,32.2759,0.7241000000000001,2.4828,2.3103,0.4138,0.2069,8.1724,Combo G,No
109,Zach Hahn,Butler,36,40.2,98.1,17.9,45.0,48.27,0.857,0.294,0.326,4,185,1.18173883,0.0,103.244,0.623498,16.75,0.2778,0.8611000000000001,1.0833,0.3889,0.0,4.8889,Combo G,No
110,Shawn Vanzant,Butler,37,70.9,109.7,15.2,50.6,53.93,0.736,0.462,0.391,4,182,1.6153116,0.0,100.208,3.87309,28.7568,0.4595,2.9189,1.7027,0.7838,0.0541,8.0811,Wing G,No
127,James Hett,Monmouth,30,85.5,98.3,12.0,47.5,48.68,0.532,0.516,0.295,4,177,2.42864153,0.0,104.239,-1.39489,34.7667,0.5667,2.3333,3.9667,1.2667,0.0,5.3333,Scoring PG,No
129,Thomas Coleman,North Carolina A&T,28,77.6,114.3,25.6,60.6,62.26,0.642,0.608,0.0,4,205,0.58333983,0.0,99.6029,5.46836,32.8214,3.8929,6.4286,1.5,1.25,2.5,17.2857,C,No
131,Kyle Riley,Howard,24,70.3,90.0,19.0,46.0,48.38,0.612,0.451,0.318,4,190,1.2571399300000001,0.0,106.843,-4.6885200000000005,35.125,0.375,2.0833,3.6667,1.625,0.0,9.75,Scoring PG,No
133,Justin Nabors,Lamar,28,77.3,99.5,25.3,51.2,55.57,0.6930000000000001,0.519,0.28600000000000003,4,200,0.44565846000000003,0.0,102.644,-1.43784,31.0714,3.4286,5.8929,1.4643000000000002,0.75,0.7143,14.3571,PF/C,No
135,Noah States,Furman,26,50.0,114.1,21.4,59.5,61.52,0.75,0.536,0.447,4,203,1.07318153,0.0,98.4973,3.44781,24.0385,0.6538,3.8462,1.6923,0.4615,0.7692,10.3077,Stretch 4,No
136,Adam Walker,Howard,23,36.2,80.4,20.3,38.5,38.75,0.377,0.383,0.28600000000000003,3,203,0.9655007800000001,0.0,102.898,-4.55107,20.3043,1.5217,3.3478,1.2174,0.3478,0.7391000000000001,5.087,PF/C,No
137,Jihad Ali,Georgia St.,33,81.0,101.5,20.8,46.7,49.33,0.727,0.438,0.357,4,195,0.95744977,0.0,88.7167,2.05092,32.8788,1.1212,4.8182,1.3636,1.5152,0.5758,12.4242,Wing G,No
139,Jay Threatt,Delaware St.,24,81.4,107.1,18.2,42.5,49.75,0.8160000000000001,0.45,0.24,4,180,3.06388195,0.0,99.9615,1.34508,37.4583,0.5417000000000001,3.0417,6.0,2.9583,0.16670000000000001,9.0,Pure PG,No
140,Isaiah Tate,George Mason,34,50.8,114.3,15.8,52.3,54.41,0.667,0.462,0.41200000000000003,4,193,1.30006806,0.0,98.7184,3.86485,20.5588,1.0882,1.3529,0.7647,0.7647,0.2353,6.2353,Wing G,No
141,Vlad Moldoveanu,American,30,80.2,112.9,31.5,50.4,56.68,0.8320000000000001,0.47700000000000004,0.368,4,205,1.03510525,0.0,101.726,3.03381,33.7,1.6333000000000002,4.8,1.9667,0.3667,0.4667,20.4333,Stretch 4,No
142,Tyren Johnson,Louisiana Lafayette,28,91.3,103.5,28.7,53.3,55.64,0.672,0.533,0.354,4,203,0.96970897,0.0,95.2671,5.10224,36.5,1.9643000000000002,6.0714,3.4286,1.9286,1.4643000000000002,18.25,Wing F,No
155,Pawel Buczak,Princeton,30,54.4,88.6,19.1,46.9,48.42,0.5710000000000001,0.438,0.4,4,210,0.9073888800000001,0.0,91.4231,-0.0335015,21.9333,1.3667,1.8,1.6333000000000002,0.6000000000000001,0.6333000000000001,4.7333,PF/C,No
159,Calvin Baker,Virginia,25,32.5,86.5,16.6,35.9,38.15,0.625,0.362,0.23500000000000001,4,187,2.34999996,0.0,103.925,-2.59719,16.24,0.32,0.88,1.88,0.4,0.0,3.04,Scoring PG,No
161,Ousman Krubally,Georgia St.,29,52.4,104.3,19.5,54.5,57.99,0.656,0.545,0.0,4,198,0.31246979,0.0,99.0228,1.01764,22.6897,2.8966000000000003,2.8966000000000003,0.5172,0.7586,0.5862,7.069,PF/C,No
163,Howard Crawford,UAB,34,64.9,101.4,24.9,48.7,53.7,0.719,0.489,0.313,4,203,0.3043264,0.0,96.2036,0.108041,26.147100000000002,2.0,2.4412000000000003,0.6176,0.3529,0.3529,11.7941,Wing F,No
167,Ryan Reid,Florida St.,31,54.8,97.5,18.3,49.1,51.58,0.597,0.491,0.0,4,203,0.68623872,57.0,93.5205,2.50667,22.7097,1.871,2.0968,1.129,0.5806,0.5161,6.7742,C,Yes
171,Kyle Singler,Duke,37,86.9,112.3,23.5,49.1,53.64,0.806,0.497,0.321,4,203,0.8571278,33.0,94.0388,5.95265,34.7568,2.3784,4.4595,1.6216,0.9189,0.32430000000000003,16.8919,Wing F,Yes
172,Nolan Smith,Duke,37,85.1,114.0,30.8,50.8,56.4,0.8130000000000001,0.501,0.35000000000000003,4,187,1.6016869599999999,21.0,94.9421,7.92525,34.027,1.1892,3.2973,5.1081,1.2162,0.0811,20.648600000000002,Scoring PG,Yes
173,Taylor King,Villanova,32,45.8,113.5,18.2,52.3,54.62,0.738,0.494,0.364,2,198,0.5806151900000001,0.0,96.9385,5.42044,19.0312,1.625,3.6562,0.5625,0.7188,0.46880000000000005,7.4062,PF/C,No
174,E'Twaun Moore,Purdue,34,84.4,112.1,26.8,51.8,54.55,0.709,0.47300000000000003,0.4,4,193,1.77052561,55.0,93.8872,9.05063,33.8824,1.5,3.6471,3.1765,1.2059,0.5294,18.0,Combo G,Yes
179,Tim Abromaitis,Notre Dame,2,5.5,82.1,28.3,33.3,40.85,0.889,0.526,0.0,4,203,0.83333333,0.0,99.1078,-5.53315,38.0,1.0,6.0,2.5,0.5,0.0,14.0,Wing F,No
180,Tyrone Nash,Notre Dame,34,70.9,115.6,20.2,49.0,56.4,0.6890000000000001,0.487,0.5,4,203,1.6981652600000001,0.0,102.606,5.79134,28.7941,2.4118,3.5,2.6471,0.29410000000000003,0.5588000000000001,9.5294,Wing F,No
181,Junior Salters,Wofford,34,59.1,103.0,17.3,49.2,49.77,0.5630000000000001,0.315,0.376,4,187,1.55176456,0.0,96.7145,2.52179,23.7353,0.29410000000000003,2.1765,1.3235000000000001,0.6765,0.0882,7.7941,Combo G,No
182,Jerome Randle,California,35,87.1,113.1,26.6,55.7,61.33,0.933,0.509,0.404,4,177,1.21950309,0.0,105.613,4.72607,34.9714,0.4,1.6857000000000002,4.2857,0.7429,0.0,18.6,Scoring PG,No
188,Corey Godzinski,Wofford,31,28.4,102.9,15.9,41.7,46.28,0.87,0.531,0.217,4,205,1.77781594,0.0,95.8197,0.498199,12.5161,0.3226,1.5806,0.5161,0.2581,0.09680000000000001,3.5806,Stretch 4,No
198,Ryann Abraham,Appalachian St.,34,46.7,107.4,18.4,51.1,56.04,0.718,0.47900000000000004,0.365,4,177,1.7083155300000001,0.0,101.541,1.41946,18.8235,0.17650000000000002,1.5,2.4118,1.0294,0.1471,5.5294,Scoring PG,No
199,Robo Kreps,Illinois Chicago,30,95.6,105.4,21.7,50.1,53.68,0.782,0.467,0.358,4,185,1.11842269,0.0,106.112,1.9394300000000002,38.7,0.5333,3.6667,2.8333,1.2333,0.06670000000000001,15.5667,Combo G,No
200,Peter Sullivan,Brown,22,60.5,104.9,26.2,43.2,54.93,0.8170000000000001,0.457,0.254,4,195,1.06819999,0.0,107.129,-1.12211,29.8182,1.0,4.5908999999999995,2.1364,0.6818000000000001,0.09090000000000001,14.2273,Wing G,No
203,Matt Mullery,Brown,28,75.2,104.7,27.3,55.4,59.34,0.718,0.58,0.23500000000000001,4,203,1.0,0.0,105.049,2.03402,31.4286,1.2857,4.8214,2.8571,0.75,1.5,15.25,Wing F,No
210,Eugene Harvey,Seton Hall,30,60.1,108.9,19.2,54.5,59.29,0.762,0.551,0.34500000000000003,4,182,1.9577048,0.0,105.763,2.52555,26.0333,0.7000000000000001,1.6333000000000002,4.6333,1.4333,0.06670000000000001,8.5333,Pure PG,No
215,L.D. Williams,Wake Forest,31,74.3,102.2,16.3,47.9,51.9,0.67,0.528,0.162,4,193,0.96492082,0.0,96.4607,5.25819,30.4194,1.9677,3.6774,1.7742,1.3871,0.2258,8.7419,Wing G,No
229,D.J. Gay,San Diego St.,35,89.7,109.3,17.7,46.9,49.6,0.681,0.381,0.36,4,182,2.34038268,0.0,98.0811,3.8620900000000002,36.1429,0.2857,2.0,3.1429,1.0286,0.057100000000000005,11.4286,Combo G,No
230,Zavier Anderson,Clemson,31,22.3,71.4,16.3,51.7,49.97,0.421,0.423,0.75,4,175,0.97504458,0.0,89.647,1.36352,9.871,0.3226,1.0,1.2581,0.7097,0.2581,1.2581,Pure PG,No
236,Dante Jackson,Xavier,32,86.9,103.5,13.1,48.3,50.51,0.721,0.45,0.329,4,195,1.57503996,0.0,99.6405,4.35276,35.3125,0.6562,2.4688,1.9687999999999999,1.2812000000000001,0.21880000000000002,7.9062,Combo G,No
240,Justin Rutty,Quinnipiac,25,60.4,105.8,23.8,52.7,51.83,0.447,0.527,0.0,4,200,0.77777779,0.0,97.2652,1.39575,30.92,4.04,5.32,1.4,0.36,0.84,14.52,PF/C,No
243,Dante Curry,Georgia St.,28,33.0,107.8,20.7,50.3,51.88,0.708,0.14300000000000002,0.371,4,193,0.80007466,0.0,104.225,-1.28874,14.892900000000001,0.21430000000000002,0.9643,0.42860000000000004,0.3214,0.0357,6.5,Combo G,No
246,Keaton Belcher,Belmont,31,59.5,112.4,17.8,54.2,56.26,0.762,0.651,0.32,4,205,0.88891763,0.0,97.8451,3.54533,24.0,1.4194,2.9677,1.0323,0.7419,0.2258,9.2903,Stretch 4,No
250,Graeme Radford,Stetson,30,36.4,77.3,7.9,48.3,41.62,0.267,0.483,0.0,4,208,0.11769896,0.0,108.016,-3.4614700000000003,14.8,1.0667,1.3667,0.06670000000000001,0.2667,0.7333000000000001,1.2,C,No
272,Grant Maxey,Jackson St.,29,52.0,102.8,33.6,46.3,53.72,0.775,0.463,0.313,4,200,0.53124295,0.0,90.4613,1.02609,21.7931,2.2759,3.3103,1.1724,1.2414,0.5517000000000001,13.4483,Wing F,No
273,Jason Averkamp,Milwaukee,32,45.3,113.9,16.5,54.7,60.35,0.75,0.608,0.28200000000000003,4,198,0.73333333,0.0,103.225,1.8548,18.2812,1.3437999999999999,2.3438,0.6875,0.25,0.3438,5.8125,Stretch 4,No
278,Woody Payne,Detroit,33,70.2,97.8,14.9,46.5,51.84,0.635,0.47700000000000004,0.263,4,177,2.01470452,0.0,92.2497,3.41386,28.2727,0.6364000000000001,3.0,4.1515,2.2727,0.1515,5.4545,Pure PG,No
283,Julius Thomas,Portland St.,29,68.1,118.4,18.5,67.2,62.81,0.453,0.675,0.0,4,195,1.26189325,0.0,111.02,3.47709,28.5517,2.0,3.931,1.8276,1.4483000000000001,0.6897,10.7241,PF/C,No
284,Zahir Carrington,Lehigh,30,63.2,91.2,23.8,51.6,51.7,0.496,0.518,0.0,4,200,0.48749391000000003,0.0,95.4038,-0.185746,28.0333,2.0333,4.6333,1.3,1.0667,1.4,11.0,PF/C,No
285,Marquis Hall,Lehigh,33,78.5,105.0,21.7,46.0,50.0,0.727,0.375,0.372,4,182,2.5972592199999998,0.0,101.593,0.7368979999999999,31.636400000000002,0.5152,2.9394,5.6667000000000005,1.1818,0.09090000000000001,11.0,Pure PG,No
286,Ernest Fields,Austin Peay,15,7.6,84.3,19.5,50.0,52.34,0.6000000000000001,0.5,0.0,4,198,0.0,0.0,106.479,-12.4023,6.2,0.4667,0.9333,0.0,0.06670000000000001,0.1333,1.8667,PF/C,No
288,Duran Roberson,Austin Peay,30,43.5,102.0,17.2,53.7,55.56,0.623,0.5700000000000001,0.23800000000000002,3,203,0.35711988,0.0,108.554,-2.43478,17.7667,0.8667,1.9,0.33330000000000004,0.16670000000000001,0.6667000000000001,5.9333,PF/C,No
290,Romain Martin,Eastern Illinois,7,6.5,85.8,23.5,43.8,45.52,1.0,0.25,0.333,4,187,0.33333332,0.0,109.424,-8.60529,11.0,0.1429,0.42860000000000004,0.2857,0.1429,0.0,4.2857,Combo G,No
293,Matt Shamis,Lehigh,23,5.4,84.6,17.0,61.5,59.94,0.5,0.28600000000000003,0.667,4,182,0.6250719,0.0,104.978,-7.0453,3.1304,0.043500000000000004,0.2609,0.2174,0.043500000000000004,0.0,0.8261000000000001,Combo G,No
294,Scott Brooks,Navy,20,5.6,47.5,11.4,16.7,25.51,0.375,0.167,0.0,4,198,0.60000002,0.0,102.107,-9.49065,3.4,0.05,0.4,0.15,0.15,0.0,0.25,PF/C,No
296,Jeremy Evans,Western Kentucky,34,65.3,129.2,17.3,65.6,66.82,0.6880000000000001,0.673,0.25,4,205,0.69446545,55.0,95.1372,8.08383,26.5,2.9706,3.9412000000000003,0.7353000000000001,0.8235,1.7941,10.0294,C,Yes
297,Amorrow Morgan,Idaho St.,26,81.0,97.3,27.5,49.8,53.87,0.687,0.47300000000000003,0.387,4,195,0.45348733,0.0,119.578,-6.01599,34.4231,0.8077000000000001,2.8846,1.5,0.8462000000000001,0.1154,16.1538,Wing G,No
298,Donnie Carson,Idaho St.,26,48.3,94.4,17.8,36.7,39.91,0.731,0.381,0.111,4,187,1.77263061,0.0,118.418,-4.08911,20.5385,1.2692,1.7308,1.5,0.5,0.42310000000000003,4.7692,Wing G,No
299,Kenneth van Kempen,Ohio,36,68.4,96.8,14.4,46.2,48.3,0.73,0.47200000000000003,0.0,4,208,0.60465506,0.0,96.9549,-0.420004,27.9444,1.6944,4.8889,0.7222000000000001,0.5556,0.6389,6.75,C,No
302,A.J. Slaughter,Western Kentucky,34,89.9,112.4,25.6,50.6,56.45,0.8270000000000001,0.47300000000000003,0.359,4,190,1.59780488,0.0,100.964,3.81805,36.4706,0.4706,2.7059,4.3235,1.5882,0.11760000000000001,17.5,Scoring PG,No
303,Louis Birdsong,George Mason,30,29.9,96.4,12.7,46.7,48.35,0.667,0.431,0.36,4,198,1.1250704,0.0,99.6216,1.1047500000000001,12.8667,0.4,1.6,0.6000000000000001,0.3667,0.6333000000000001,2.6333,Stretch 4,No
304,Trae Goldston,Georgia St.,31,64.3,106.9,19.7,49.6,52.64,0.867,0.38,0.4,4,185,0.65793767,0.0,106.158,-1.44318,26.0323,0.3226,1.3226,0.8065,0.7097,0.09680000000000001,10.0323,Combo G,No
307,Yannick Formbor,Drexel,22,11.2,102.1,8.9,85.7,78.7,0.625,0.857,0.0,4,203,0.62513755,0.0,93.5934,1.8510300000000002,6.3182,0.5,1.0,0.2273,0.09090000000000001,0.0455,0.7727,C,No
308,Rob Hampton,Norfolk St.,32,76.2,92.8,26.0,47.9,51.89,0.655,0.494,0.295,4,193,0.57143729,0.0,107.552,-4.67378,30.9375,1.25,2.4375,1.875,1.125,0.1562,14.0312,Combo G,No
310,Kurt Hoffman,St. Francis PA,30,56.0,87.9,13.2,56.1,57.03,0.5740000000000001,0.561,0.0,4,198,0.549,0.0,107.175,-3.20777,22.5,1.3333,2.2333,0.9333,0.6333000000000001,0.4667,3.9667,PF/C,No
320,Cleveland Richard,Army,28,80.4,96.7,24.6,43.6,47.38,0.73,0.41500000000000004,0.316,4,190,1.40681501,0.0,93.0933,1.95018,32.2857,1.2143,2.9643,2.9643,1.75,0.35710000000000003,12.4643,Combo G,No
321,Derrick Caracter,UTEP,27,53.9,103.5,27.3,57.5,59.84,0.672,0.585,0.267,3,205,0.38959989,58.0,87.8534,4.15217,26.6667,2.6667,5.4074,1.1111,0.963,0.8519,14.0741,PF/C,Yes
325,Will Walker,DePaul,31,93.7,97.5,25.3,43.0,45.98,0.71,0.403,0.307,4,182,1.51925595,0.0,107.271,1.9392800000000001,38.0645,0.7419,2.2580999999999998,2.5484,1.5484,0.129,16.1613,Combo G,No
328,Edgar Sosa,Louisville,33,68.0,111.0,25.4,55.2,57.0,0.654,0.526,0.383,4,187,1.70454119,0.0,106.276,3.01509,27.5152,0.5455,1.5455,4.5455,0.8788,0.09090000000000001,13.1212,Pure PG,No
329,James Dews,Miami FL,32,73.9,108.4,18.8,51.6,53.34,0.745,0.514,0.34600000000000003,4,193,1.21432377,0.0,100.967,3.16819,29.5625,0.5625,2.4062,1.5937999999999999,1.0,0.1875,11.3125,Wing G,No
332,Jeremy Hazell,Seton Hall,18,50.8,107.7,26.0,50.7,55.02,0.75,0.511,0.336,4,195,0.90623242,0.0,94.6731,7.43818,35.2778,0.6667000000000001,2.8333,1.6111,2.3889,0.055600000000000004,19.8333,Combo G,No
347,Marcus Britt,Arkansas,30,45.2,100.9,15.9,52.6,55.0,0.889,0.431,0.397,4,190,0.97224997,0.0,99.1557,2.26179,18.9667,0.5667,1.5333,1.1667,0.8333,0.2333,5.3,Combo G,No
351,Malcolm White,LSU,29,21.3,86.5,22.3,46.2,45.79,0.417,0.462,0.0,4,205,0.24996375,0.0,96.2996,-3.4669600000000003,9.8276,0.7931,1.3103,0.1724,0.1724,0.27590000000000003,3.4138,C,No
355,Steffphon Pettigrew,Western Kentucky,32,84.1,106.9,21.5,53.0,54.01,0.5750000000000001,0.5630000000000001,0.294,4,195,0.65625,0.0,103.659,1.3555000000000001,33.9062,2.5938,3.4688,1.3125,0.75,0.625,14.5938,Wing F,No
357,Austin Kilpatrick,Idaho St.,27,62.7,101.7,17.9,46.9,49.81,0.806,0.326,0.34600000000000003,4,198,1.36588743,0.0,117.138,-0.8017369999999999,25.6667,0.7778,2.6296,2.0741,0.5556,0.8148000000000001,7.1481,Stretch 4,No
360,Nedeljko Golubovic,Fresno St.,30,60.2,97.3,16.6,46.8,51.53,0.718,0.51,0.276,4,203,0.64285714,0.0,100.9,-0.653314,24.2,1.1,2.9,0.9,1.0333,0.3667,7.0667,Wing F,No
362,Josh Bedwell,Samford,29,56.8,115.7,18.9,60.8,65.98,0.911,0.522,0.43,4,182,1.36112454,0.0,108.344,0.616099,22.8966,0.5172,2.0345,1.6897,0.7241000000000001,0.0345,8.1724,Combo G,No
368,Sam Singh,Bradley,28,32.1,80.2,12.8,40.4,42.48,0.5,0.404,0.0,4,205,0.40744582,0.0,103.383,-1.56254,14.3214,1.25,1.9286,0.3929,0.25,0.3929,1.7143000000000002,C,No
380,Terrell Bell,Virginia Tech,34,79.6,108.4,12.8,55.4,56.69,0.617,0.525,0.395,4,198,1.2856647300000001,0.0,94.9353,6.24557,32.2059,1.5588000000000002,4.0882,1.8529,0.7647,0.9118,6.8529,Wing F,No
383,Malcolm Delaney,Virginia Tech,34,94.5,112.3,25.9,51.5,58.53,0.85,0.43,0.40800000000000003,4,190,1.33009828,0.0,96.6029,6.42743,38.2353,0.7941,2.7059,4.0294,1.6471,0.17650000000000002,18.7353,Scoring PG,No
386,Bobby Austin,Furman,29,76.4,89.5,16.9,43.9,48.4,0.851,0.324,0.378,4,190,0.77777778,0.0,111.977,-5.32261,30.5517,0.6897,2.5172,1.4483000000000001,0.8966000000000001,0.3103,7.6207,Wing G,No
387,Justin Dehm,Furman,31,53.6,109.3,14.6,59.1,61.0,0.778,0.359,0.455,4,185,1.21625463,0.0,104.725,-0.635548,21.6129,0.0323,1.3871,1.4516,0.5806,0.0323,5.9355,Combo G,No
388,Will Sherrill,Virginia,23,34.7,108.2,13.0,55.6,55.88,1.0,0.439,0.438,4,205,1.0,0.0,101.472,3.25949,18.8696,0.7826000000000001,2.0435,0.5652,0.4783,0.1739,4.3478,Stretch 4,No
392,Brian Mills,Mercer,32,75.9,101.7,29.0,47.5,52.16,0.72,0.487,0.275,4,200,0.56336757,0.0,100.846,-0.187128,30.7188,2.1562,3.9375,1.25,0.9375,0.5,16.5312,Wing F,No
393,George Valentine,Winthrop,30,81.5,103.7,15.5,52.7,52.93,0.514,0.527,0.0,4,205,0.56098632,0.0,97.7615,2.17964,33.0,2.8333,5.0667,0.7667,1.5333,0.9667,8.3,C,No
