,player_name,school,GP,Min_per,ORtg,usg,eFG,TS_per,FT_per,twoP_per,TP_per,yr,ht,ast/tov,pick,drtg,bpm,mp,oreb,dreb,ast,stl,blk,pts,role,drafted
5462,Danny Smith,Morgan St.,34,41.1,78.9,15.4,36.6,39.18,0.47100000000000003,0.383,0.188,3,180,1.6551380500000001,0.0,103.248,-6.21839,18.147100000000002,0.3235,1.1765,2.8235,0.5588000000000001,0.029400000000000003,2.7941000000000003,Pure PG,No
5463,Anton Dickerson,Howard,28,41.1,87.5,23.7,44.3,45.15,0.727,0.375,0.314,4,187,0.41175985,0.0,102.164,-6.99028,17.0357,0.3214,1.25,0.5,0.2857,0.0357,6.3929,Wing G,No
5464,Mike Phillips,Howard,29,86.7,90.6,22.9,43.0,46.17,0.653,0.436,0.125,4,200,0.43284419999999996,0.0,98.1302,-3.55878,34.6897,2.7241,3.931,1.0,0.7931,0.5517000000000001,11.6897,PF/C,No
5465,Tyreak Johnson,Howard,9,9.8,58.3,27.3,22.1,28.93,0.667,0.276,0.07100000000000001,1,182,0.70586054,0.0,111.16,-15.357,14.0,0.5556,0.7778,1.3333,0.1111,0.0,3.2222,Wing G,No
5466,Dadrian Collins,Howard,20,24.0,92.1,18.7,46.8,47.5,0.667,0.425,0.333,3,195,0.42105264000000003,0.0,109.787,-5.4829,14.45,0.8,1.0,0.4,0.1,0.0,4.6,Wing F,No
5467,Gary Lawrence,Howard,27,38.6,78.3,17.3,36.5,44.41,0.597,0.365,0.0,2,198,0.24392494,0.0,103.602,-7.53699,17.1481,1.8148,2.4815,0.3704,0.5185000000000001,0.1852,3.4815,PF/C,No
5468,Charles DeCosta,Howard,19,16.2,65.2,9.0,50.0,39.53,0.25,0.5,0.0,2,203,0.22229259999999998,0.0,103.638,-5.28005,10.2105,0.5263,1.1053,0.1053,0.2632,0.5263,0.8947,C,No
5469,Alzee Williams,North Texas,30,70.3,107.1,19.0,45.2,51.78,0.74,0.455,0.25,4,193,1.5,0.0,109.0,-0.714729,28.4667,0.9667,1.2333,1.5,0.7333000000000001,0.06670000000000001,10.3333,Combo G,No
5470,Corey Claitt,Utah Valley,12,29.8,87.9,30.0,42.0,45.93,0.615,0.444,0.2,3,185,1.2,0.0,99.2619,-3.09482,25.9167,0.6667000000000001,2.8333,3.0,1.5,0.0,11.0,Scoring PG,No
5471,Mike Groselle,The Citadel,28,80.9,112.0,24.9,56.7,59.7,0.735,0.5670000000000001,0.0,4,203,0.7419500800000001,0.0,112.503,0.9019539999999999,32.5,3.1786,4.3929,1.6429,1.25,0.5714,15.6786,C,No
